mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
الرياض,حي الخليج,جنوب غربي,تجاري,40.0,1890,2500,4725000
الرياض,حي قرطبة,جنوب,سكني,15.0,360,2900,1044000
الرياض,حي بنبان,شمال,سكني أو تجاري,25.0,840,833,699720
الرياض,حي الملقا,شمال غربي,سكني,15.0,726,3800,2758800
الخبر,حي الصواري,شمال شرقي,سكني,15.0,650,1040,676000
الزلفي,حي قرطبة,جنوب,سكني,30.0,1338,246,329148
الخبر,حي التحلية,3 شوارع,سكني,20.0,1610,1500,2415000
الخبر,حي الشراع,جنوب,تجاري,60.0,875,2228,1949500
الرياض,حي النرجس,4 شوارع,سكني,20.0,5821,2850,16589850
جدة,حي الحمراء,شمال غربي,سكني,20.0,10000,2300,23000000
الرياض,حي العقيق,3 شوارع,سكني أو تجاري,36.0,2500,3600,9000000
الرياض,حي الصحافة,شمال,سكني أو تجاري,60.0,2031,4700,9545700
الرياض,حي بنبان,جنوب,سكني,15.0,1500,680,1020000
ثادق,حي الجنادرية,غرب,سكني,15.0,600,116,69600
الرياض,حي بنبان,شمال,سكني أو تجاري,20.0,1500,650,975000
الرياض,حي الازدهار,جنوب,سكني,15.0,552,3500,1932000
الظهران,حي الدوحة الشمالية,شمال,سكني,20.0,446,2500,1115000
الرياض,حي الحزم,غرب,سكني,20.0,3025,1350,4083750
الرياض,حي العارض,جنوب,سكني أو تجاري,15.0,750,2500,1875000
رابغ,حي الصليب الشرقي,شرق,سكني,15.0,700,285,199500
الرياض,حي العزيزية,شمال,تجاري,40.0,1751,2000,3502000
جدة,حي الشاطئ,جنوب غربي,سكني,20.0,745,7114,5299930
الخبر,حي الخور,3 شوارع,تجاري,60.0,4457,2700,12033900
الرياض,حي الياسمين,3 شوارع,تجاري,36.0,2500,3500,8750000
الرياض,حي حطين,شمال,سكني,30.0,1925,6500,12512500
الرياض,حي الرمال,جنوب,سكني,15.0,400,1550,620000
الدمام,حي المنار,3 شوارع,سكني,30.0,808,1500,1212000
الرياض,حي الرحمانية,3 شوارع,سكني,12.0,540,3600,1944000
جدة,حي الزمرد,غرب,سكني,16.0,868,665,577220
جدة,حي الرياض,غرب,سكني,15.0,900,260,234000
الرياض,حي ضاحية نمار,غرب,سكني,10.0,460,800,368000
الرياض,حي النسيم الغربي,جنوب,سكني,20.0,770,1700,1309000
الرياض,حي قرطبة,جنوب,سكني,15.0,1128,2670,3011760
الرياض,حي الخليج,جنوب,سكني,15.0,600,2200,1320000
جدة,حي الشراع,شرق,سكني,16.0,400,2250,900000
الخبر,حي المرجان,شمال,سكني,20.0,1153,520,599560
الرياض,حي الشهداء,جنوب,سكني أو تجاري,36.0,1500,5000,7500000
الدرعية,حي الخالدية,غرب,سكني,15.0,375,2800,1050000
الرياض,حي الرمال,جنوب,سكني,15.0,448,1700,761600
الرياض,حي الملقا,جنوب,سكني,25.0,450,4300,1935000
الرياض,حي الملقا,4 شوارع,سكني أو تجاري,25.0,800,4200,3360000
الهفوف,حي العزيزية,شرق,سكني,15.0,400,737,294800
الرياض,حي الجزيرة,شمال,سكني,18.0,974,3000,2922000
الخبر,حي البحيرة,شرق,سكني,20.0,687,1250,858750
الرياض,حي عرقة,جنوب شرقي,سكني,16.0,759,3500,2656500
المدينة المنورة,حي شوران,غرب,سكني,15.0,874,783,684342
الرياض,حي الرمال,4 شوارع,تجاري,60.0,9163,1100,10079300
الرياض,حي الشرق,شمال,سكني,15.0,864,277,239328
الرياض,حي طويق,جنوب غربي,سكني,25.0,675,2000,1350000
الرياض,حي الهدا,جنوب شرقي,سكني,20.0,3046,2300,7005800
الرياض,حي بنبان,شمال شرقي,سكني,15.0,750,613,459750
الرياض,حي الملقا,3 شوارع,سكني,30.0,10200,2500,25500000
الرياض,حي القادسية,جنوب غربي,سكني أو تجاري,30.0,750,2150,1612500
الرياض,حي عرقة,شمال,تجاري,40.0,625,4500,2812500
الخبر,حي المرجان,جنوب,سكني,20.0,875,571,499625
الرياض,حي عريض,جنوب غربي,سكني أو تجاري,35.0,900,666,599400
الرياض,حي العقيق,شمال شرقي,سكني,30.0,1600,4100,6560000
الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3500,3675000
الخبر,حي الرجاء,شرق,سكني,20.0,840,833,699720
الرياض,حي النرجس,جنوب غربي,سكني,12.0,1040,2850,2964000
مكة المكرمة,حي الحجون,جنوب غربي,سكني أو تجاري,100.0,675,74074,49999950
الرياض,حي النرجس,جنوب غربي,سكني,15.0,1116,3600,4017600
بريدة,حي الجامعيين,4 شوارع,سكني أو تجاري,60.0,5212,500,2606000
الرياض,حي الملقا,شمال,سكني,25.0,560,4820,2699200
الرياض,حي الملقا,شرق,سكني,15.0,450,3400,1530000
الرياض,حي النرجس,شرق,سكني,15.0,900,2500,2250000
الخبر,حي العقيق,جنوب,سكني,40.0,600,750,450000
الرياض,حي ضاحية نمار,شمال,سكني,20.0,900,722,649800
الرياض,حي النرجس,شمال,سكني,25.0,660,3300,2178000
الرياض,حي الغدير,شرق,سكني,15.0,1200,4400,5280000
جدة,حي الصوارى,شرق,سكني,32.0,887,1920,1703040
جدة,حي الرياض,جنوب,سكني,16.0,900,244,219600
الدمام,حي الفيصلية,غرب,سكني,30.0,990,1700,1683000
الرياض,حي اليرموك,شرق,سكني,20.0,373,2300,857900
الخبر,حي اللؤلؤ,شرق,سكني,30.0,480,958,459840
الخبر,حي الرجاء,جنوب غربي,سكني أو تجاري,20.0,433,946,409618
الخبر,حي العقيق,شرق,تجاري,60.0,1205,829,998945
الرياض,حي حطين,جنوب,سكني,15.0,437,4200,1835400
الرياض,حي الفلاح,جنوب,سكني,15.0,560,3300,1848000
الرياض,حي الملقا,شمال,سكني,25.0,800,4000,3200000
الرياض,حي الياسمين,3 شوارع,تجاري,36.0,2522,4000,10088000
الرياض,حي الملقا,جنوب شرقي,سكني,20.0,480,4300,2064000
الرياض,حي النرجس,غرب,سكني,15.0,810,3000,2430000
الرياض,حي الملقا,شرق,سكني,60.0,2003,4000,8012000
الرياض,حي النرجس,شرق,سكني,15.0,375,3100,1162500
الرياض,حي الياسمين,شرق,سكني,15.0,420,3600,1512000
الرياض,حي النرجس,شرق,سكني,20.0,450,2800,1260000
الرياض,حي الغدير,شمال,سكني,20.0,600,4000,2400000
الرياض,حي قرطبة,جنوب,سكني,15.0,495,2900,1435500
الرياض,حي المروج,غرب,سكني,16.0,875,2600,2275000
الرياض,حي المحمدية,شمال,سكني,15.0,820,3800,3116000
جدة,حي الصوارى,غرب,سكني أو تجاري,30.0,900,2000,1800000
الرياض,حي الصحافة,3 شوارع,تجاري,60.0,4062,6500,26403000
الرياض,حي الملقا,3 شوارع,سكني,25.0,2487,4000,9948000
الرياض,حي الملقا,شمال,سكني,25.0,700,4000,2800000
الرياض,حي النرجس,جنوب شرقي,سكني,20.0,500,2900,1450000
الرياض,حي الياسمين,شمال غربي,سكني,14.0,754,3300,2488200
الرياض,حي الملقا,شرق,تجاري,36.0,2385,4200,10017000
الرياض,حي اشبيلية,غرب,تجاري,60.0,910,2600,2366000
جازان,حي الشاطئ,شمال شرقي,سكني أو تجاري,20.0,684,1096,749664
الرياض,حي الصحافة,شمال شرقي,سكني,15.0,925,3000,2775000
الرياض,حي الملقا,غرب,سكني,20.0,525,4400,2310000
الرياض,حي الملقا,شمال,سكني أو تجاري,30.0,1800,4200,7560000
جدة,حي ابحر الجنوبية,شرق,تجاري,50.0,2000,8000,16000000
جدة,حي الامواج,شمال شرقي,سكني,16.0,500,2200,1100000
الرياض,حي النموذجية,4 شوارع,سكني أو تجاري,35.0,948,3164,2999472
ابها,حي القرى,شمال,سكني أو تجاري,30.0,660,909,599940
الرياض,حي النخيل,شمال,سكني,20.0,800,4000,3200000
الرياض,حي الملك فيصل,غرب,سكني,20.0,750,2150,1612500
الرياض,حي القادسية,4 شوارع,سكني أو تجاري,35.0,3600,2000,7200000
الدرعية,حي الدرعية الجديدة,غرب,سكني أو تجاري,20.0,795,800,636000
الرياض,حي المونسية,شمال,تجاري,30.0,625,2800,1750000
الرياض,حي الملقا,شمال,سكني,20.0,900,3000,2700000
الرياض,حي ام الحمام الغربي,جنوب شرقي,سكني,15.0,1000,1800,1800000
الدرعية,حي الخالدية,جنوب غربي,سكني,40.0,2500,3000,7500000
جدة,حي الاصالة,شرق,سكني,16.0,600,1666,999600
الرياض,حي الرمال,جنوب,سكني,50.0,16800,700,11760000
الهفوف,حي المزروع,شرق,سكني,15.0,1000,1250,1250000
جدة,حي اللؤلؤ,جنوب,سكني,20.0,400,2000,800000
الرياض,حي العارض,غرب,تجاري,60.0,3000,4500,13500000
الرياض,حي الملقا,شمال غربي,سكني,25.0,832,4800,3993600
الرياض,حي النرجس,4 شوارع,سكني أو تجاري,80.0,184000,700,128800000
الخبر,حي الحمرا,جنوب,سكني أو تجاري,40.0,1237,3000,3711000
بيش,حي بيش,غرب,غير محدد,40.0,202921,150,30438150
الرياض,حي حطين,شمال غربي,سكني,20.0,1050,4100,4305000
الخبر,حي المرجان,جنوب غربي,سكني,15.0,1200,542,650400
المزاحمية,حي الغطغط,3 شوارع,سكني,40.0,1185000,26,30810000
جدة,حي الزمرد,شمال,سكني,16.0,900,611,549900
الرياض,حي المهدية,شمال,سكني,15.0,550,1545,849750
الرياض,حي اليرموك,غرب,سكني,15.0,350,2400,840000
الرياض,حي بدر,جنوب,تجاري,36.0,728,1050,764400
الرياض,حي النرجس,شمال,سكني,20.0,450,3300,1485000
الدرعية,حي الخالدية,جنوب شرقي,سكني,20.0,775,3900,3022500
الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3200,3360000
الرياض,حي الرفيعة,غرب,سكني,15.0,710,2450,1739500
الخبر,حي العقيق,شرق,سكني,20.0,776,850,659600
جدة,حي ابحر الشمالية,شرق,سكني,16.0,720,2777,1999440
الرياض,حي النرجس,شمال,سكني,20.0,600,3500,2100000
الرياض,حي النهضة,شمال,سكني أو تجاري,30.0,1500,2200,3300000
الرياض,حي عرقة,جنوب شرقي,سكني,15.0,759,3500,2656500
الخبر,حي العقيق,جنوب شرقي,سكني,15.0,715,909,649935
الرياض,حي المونسية,غرب,سكني,15.0,303,2700,818100
الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4500,9450000
الرياض,حي الدار البيضاء,شرق,سكني,20.0,750,1400,1050000
الرياض,حي النرجس,4 شوارع,سكني,20.0,5820,2800,16296000
الرياض,حي النرجس,جنوب,تجاري,36.0,1800,3900,7020000
الرياض,حي القادسية,شرق,سكني,15.0,875,1650,1443750
الدرعية,حي شمال الدرعية,شرق,سكني,18.0,887,3500,3104500
الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,20.0,5280,3200,16896000
الرياض,حي الملك عبدالله,3 شوارع,سكني,30.0,6500,4500,29250000
الرياض,حي الرمال,3 شوارع,سكني أو تجاري,60.0,4831,1250,6038750
جدة,حي الياقوت,جنوب شرقي,سكني,25.0,677,2141,1449457
الرياض,حي اليرموك,شمال غربي,سكني,20.0,1500,2650,3975000
الرياض,حي الملقا,شمال,سكني,25.0,560,4700,2632000
الرياض,حي الرفيعة,شرق,سكني,20.0,460,2200,1012000
الرياض,حي الرحمانية,غرب,سكني,15.0,600,4000,2400000
الخبر,حي اللؤلؤ,شرق,سكني,40.0,787,686,539882
الرياض,حي ظهرة لبن,غرب,تجاري,30.0,900,1300,1170000
الرياض,حي الرمال,شمال شرقي,سكني,18.0,342,1900,649800
الخبر,حي الكوثر,جنوب,سكني أو تجاري,20.0,920,750,690000
الرياض,حي النرجس,3 شوارع,سكني,15.0,380,2900,1102000
الرياض,حي المعيزلة,شمال غربي,سكني,40.0,832,2200,1830400
الرياض,حي حطين,3 شوارع,سكني,20.0,6250,4600,28750000
الخبر,حي الامواج,شرق,سكني,19.0,875,1050,918750
تبوك,حي الروضة,شمال,سكني,20.0,689,465,320385
الرياض,حي المونسية,شمال,سكني,15.0,362,2400,868800
الرياض,حي ضاحية نمار,شرق,سكني,20.0,1104,679,749616
الرياض,حي النرجس,غرب,سكني,15.0,586,3000,1758000
الدمام,حي الشعلة,جنوب,سكني,60.0,1040,1550,1612000
الدرعية,حي الخالدية,جنوب,سكني,20.0,500,3600,1800000
الرياض,حي نمار,غرب,سكني,20.0,750,826,619500
الرياض,حي النهضة,3 شوارع,سكني,20.0,1800,2500,4500000
الرياض,حي النظيم,شمال,سكني,15.0,510,1080,550800
الرياض,حي العقيق,3 شوارع,تجاري,30.0,2500,39000,97500000
الرياض,حي المهدية,جنوب,تجاري,36.0,400,1700,680000
الرياض,حي ضاحية نمار,شمال شرقي,سكني أو تجاري,20.0,900,722,649800
الرياض,حي النرجس,شمال غربي,سكني,5.0,494,3450,1704300
الرياض,حي اليرموك,شمال شرقي,سكني,20.0,2100,2700,5670000
المدينة المنورة,حي الفتح,غرب,سكني أو تجاري,20.0,400,4250,1700000
الرياض,حي الربيع,جنوب,سكني,15.0,510,3900,1989000
الرياض,حي النرجس,جنوب غربي,سكني,25.0,1200,3500,4200000
الرياض,حي النرجس,شمال غربي,سكني,18.0,498,3500,1743000
الرياض,حي النرجس,جنوب,سكني أو تجاري,36.0,875,3600,3150000
الرياض,حي النرجس,شمال غربي,سكني أو تجاري,60.0,3360,5000,16800000
الخرج,حي الناصفة,جنوب شرقي,تجاري,50.0,63500,26,1651000
الرياض,حي الازدهار,غرب,سكني,15.0,625,3300,2062500
الرياض,حي العقيق,جنوب,سكني,15.0,2250,3400,7650000
الرياض,حي العقيق,جنوب شرقي,سكني,20.0,687,3400,2335800
الرياض,حي النرجس,غرب,سكني أو تجاري,20.0,900,2400,2160000
الرياض,حي النرجس,شمال شرقي,تجاري,30.0,900,3000,2700000
الرياض,حي القادسية,جنوب,سكني,15.0,875,2200,1925000
الرياض,حي الرمال,شمال,سكني,15.0,360,1700,612000
الخبر,حي الكوثر,شرق,سكني أو تجاري,20.0,1350,630,850500
الرياض,حي الملقا,شمال غربي,سكني,25.0,1237,4200,5195400
الدرعية,حي الخالدية,3 شوارع,سكني,28.0,4875,3200,15600000
الرياض,حي الصحافة,شرق,تجاري,20.0,1200,7500,9000000
الرياض,حي النرجس,جنوب,سكني,25.0,690,2900,2001000
الرياض,حي النرجس,غرب,سكني,15.0,811,2900,2351900
الرياض,حي الملقا,شمال شرقي,سكني,20.0,956,4000,3824000
المدينة المنورة,حي كتانة,شمال,تجاري,100.0,666,900,599400
الرياض,حي الرمال,3 شوارع,تجاري,40.0,3975,2700,10732500
بريدة,حي الجامعيين,جنوب شرقي,سكني,20.0,510,315,160650
الرياض,حي النرجس,شمال,سكني,15.0,625,2700,1687500
الرياض,حي حطين,جنوب غربي,سكني,15.0,4248,4600,19540800
الخبر,حي المرجان,شمال,سكني,20.0,875,514,449750
الرياض,حي الشفا,جنوب شرقي,تجاري,25.0,875,3000,2625000
الرياض,حي المهدية,جنوب,سكني,15.0,1515,1800,2727000
بيش,حي بيش,غرب,سكني أو تجاري,25.0,142000,140,19880000
الرياض,حي القادسية,شمال شرقي,سكني,20.0,673,2100,1413300
الرياض,حي الغدير,غرب,سكني,20.0,750,4500,3375000
الرياض,حي النرجس,جنوب شرقي,سكني,15.0,1050,2500,2625000
الرياض,حي النرجس,جنوب شرقي,سكني,15.0,1050,3000,3150000
الزلفي,حي السلام,غرب,سكني,30.0,408,318,129744
الرياض,حي حطين,شمال,تجاري,40.0,900,4200,3780000
الرياض,حي العارض,جنوب,سكني,15.0,520,2600,1352000
الرياض,حي بنبان,شمال,سكني,15.0,500,900,450000
الرياض,حي النرجس,شمال غربي,سكني,16.0,1800,2900,5220000
الرياض,حي المعذر الشمالي,شمال شرقي,سكني,14.0,1625,3000,4875000
المدينة المنورة,حي عروة,3 شوارع,سكني أو تجاري,80.0,55480,1622,89988560
الرياض,حي المهدية,جنوب غربي,تجاري,40.0,1639,1600,2622400
المدينة المنورة,حي الروابي,شمال,تجاري,100.0,4000,8500,34000000
رابغ,حي الصبوح,شرق,سكني,20.0,883,226,199558
جدة,حي مشرفة,4 شوارع,سكني,10.0,2500,1800,4500000
الرياض,حي النرجس,جنوب,سكني,15.0,588,2600,1528800
الظهران,حي هجر,شمال غربي,سكني,25.0,1275,1900,2422500
الزلفي,حي الفيصلية,غرب,سكني أو تجاري,20.0,1500,133,199500
الخبر,حي اشبيليا,شرق,تجاري,60.0,900,3300,2970000
نجران,حي مخطط الصهبان,غرب,سكني أو تجاري,30.0,50000,100,5000000
الخبر,حي الرجاء,غرب,سكني أو تجاري,20.0,840,773,649320
الرياض,حي المونسية,شرق,سكني,15.0,2130,2650,5644500
الرياض,حي عريض,جنوب شرقي,سكني,15.0,901,499,449599
جدة,حي الزمرد,جنوب,سكني,32.0,1312,564,739968
الرياض,حي السويدي,جنوب شرقي,سكني,16.0,529,1300,687700
الرياض,حي النسيم الغربي,غرب,سكني,10.0,720,1600,1152000
الرياض,حي عرقة,غرب,سكني,15.0,400,2700,1080000
الرياض,حي المرسلات,شرق,سكني,15.0,375,2700,1012500
الرياض,حي الملقا,4 شوارع,سكني,25.0,14840,4100,60844000
الرياض,حي الملقا,جنوب شرقي,سكني,17.0,3900,4500,17550000
الرياض,حي الخزامى,جنوب غربي,سكني,20.0,4400,4700,20680000
الرياض,حي الرفيعة,غرب,سكني,15.0,518,2350,1217300
الرياض,حي المروج,4 شوارع,سكني أو تجاري,35.0,5580,3400,18972000
الرياض,حي الياسمين,شمال,سكني,15.0,420,3600,1512000
الرياض,حي الروضة,جنوب غربي,سكني أو تجاري,30.0,1906,3148,6000088
الرياض,حي عرقة,غرب,تجاري,30.0,1125,3550,3993750
الرياض,حي الحمراء,شمال شرقي,سكني أو تجاري,30.0,1050,3300,3465000
الرياض,حي الندى,شرق,سكني,16.0,750,3400,2550000
الرياض,حي الربيع,جنوب شرقي,سكني,12.0,1323,3350,4432050
الرياض,حي بنبان,جنوب,سكني,20.0,350,800,280000
الرياض,حي الخليج,جنوب,سكني,14.0,600,2200,1320000
الرياض,حي عرقة,شمال شرقي,سكني,30.0,1025,2850,2921250
الرياض,حي عرقة,جنوب,سكني,15.0,880,3000,2640000
الرياض,حي ظهرة لبن,جنوب غربي,سكني أو تجاري,30.0,600,1500,900000
الرياض,حي الملقا,شمال غربي,سكني,20.0,739,4000,2956000
الرياض,حي الملقا,3 شوارع,سكني,15.0,3780,4500,17010000
جدة,حي الياقوت,جنوب شرقي,سكني أو تجاري,30.0,625,2240,1400000
الخبر,حي الامواج,جنوب,سكني,19.0,551,907,499757
الرياض,حي الرمال,شمال شرقي,سكني أو تجاري,30.0,954,1600,1526400
الرياض,حي الصحافة,جنوب,سكني,15.0,403,3300,1329900
الرياض,حي الصحافة,شمال,سكني أو تجاري,35.0,780,6100,4758000
الرياض,حي ظهرة لبن,شمال غربي,تجاري,60.0,900,1350,1215000
الخبر,حي التحلية,جنوب شرقي,سكني,20.0,351,1567,550017
الرياض,حي النرجس,غرب,سكني,15.0,811,2800,2270800
الرياض,حي الملقا,3 شوارع,سكني,20.0,975,3700,3607500
الرياض,حي الملقا,شمال غربي,سكني,20.0,900,4000,3600000
الرياض,حي النرجس,شرق,سكني,15.0,375,3200,1200000
الرياض,حي النفل,جنوب,سكني أو تجاري,15.0,2444,4500,10998000
الخبر,حي التحلية,شمال,سكني,15.0,500,1550,775000
الرياض,حي النرجس,شرق,سكني,15.0,1500,3200,4800000
الرياض,حي الملقا,غرب,سكني,20.0,900,3900,3510000
الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,3950,3021750
الرياض,حي النخيل,غرب,سكني,15.0,500,4200,2100000
الرياض,حي المهدية,شرق,سكني,15.0,450,1555,699750
جدة,حي الصوارى,شرق,سكني أو تجاري,30.0,588,1615,949620
جدة,حي الزمرد,شمال شرقي,سكني,25.0,900,388,349200
بريدة,حي المطار القديم,شمال,سكني,15.0,500,370,185000
الدمام,حي الأمل,شرق,تجاري,60.0,1800,1000,1800000
الرياض,حي المعيزلة,جنوب,سكني,15.0,626,1500,939000
الرياض,حي النرجس,شمال,تجاري,60.0,8400,5000,42000000
الرياض,حي الندى,4 شوارع,سكني,20.0,19620,3250,63765000
الرياض,حي حطين,شرق,سكني,20.0,3500,5400,18900000
الرياض,حي الحمراء,جنوب,سكني,25.0,1125,3050,3431250
الرياض,حي المونسية,شرق,تجاري,60.0,900,2400,2160000
الرياض,حي الخليج,شرق,سكني,5.0,1890,2500,4725000
الرياض,حي النظيم,غرب,سكني أو تجاري,40.0,750,1750,1312500
الرياض,حي الرائد,شمال,سكني,20.0,750,4300,3225000
الرياض,حي الملقا,جنوب,سكني,15.0,687,3700,2541900
الرياض,حي بنبان,شمال,سكني أو تجاري,20.0,750,733,549750
الرياض,حي الملقا,شمال شرقي,سكني,20.0,956,3800,3632800
الرياض,حي ظهرة لبن,جنوب غربي,سكني أو تجاري,30.0,750,1330,997500
الرياض,حي العقيق,جنوب شرقي,سكني,15.0,400,3800,1520000
الرياض,حي قرطبة,جنوب شرقي,سكني,15.0,1375,3300,4537500
الرياض,حي الغدير,جنوب غربي,سكني,20.0,1176,4500,5292000
جدة,حي الشراع,جنوب شرقي,سكني,15.0,600,2333,1399800
الرياض,حي الملقا,شمال غربي,سكني,25.0,1243,4200,5220600
الرياض,حي الياسمين,شمال,سكني,15.0,1500,2900,4350000
الهفوف,حي النايفية,شرق,سكني,15.0,400,625,250000
الدمام,حي النزهة,شرق,سكني,15.0,338,1997,674986
الرياض,حي الازدهار,4 شوارع,سكني,20.0,4032,3250,13104000
الرياض,حي الياسمين,غرب,سكني,14.0,725,3200,2320000
الدرعية,حي الخالدية,شمال,سكني,20.0,1150,3350,3852500
الزلفي,حي السلام,شمال,سكني,25.0,450,333,149850
الخبر,حي الحمرا,شرق,سكني أو تجاري,35.0,2740,3500,9590000
الرياض,حي الملقا,شمال غربي,سكني,28.0,2050,4200,8610000
الخبر,حي العقيق,غرب,سكني,18.0,700,785,549500
الرياض,حي اليرموك,جنوب,سكني,15.0,250,2750,687500
المدينة المنورة,حي البلقاء,3 شوارع,سكني أو تجاري,18.0,1000,58,58000
الرياض,حي المعيزلة,شرق,سكني,40.0,2200,3000,6600000
الرياض,حي النرجس,شمال,سكني أو تجاري,35.0,1260,3400,4284000
الرياض,حي بنبان,شمال,سكني,15.0,760,700,532000
الرياض,حي بنبان,شرق,سكني,15.0,937,555,520035
الزلفي,حي قرطبة,شمال غربي,سكني,20.0,622,262,162964
الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3000,3150000
الرياض,حي الشرق,شمال,سكني,25.0,900,390,351000
بريدة,حي الرحاب,4 شوارع,تجاري,20.0,1125,580,652500
جدة,حي الفلاح,جنوب شرقي,سكني,15.0,625,1440,900000
الرياض,حي الشرق,شرق,سكني أو تجاري,30.0,750,250,187500
الزلفي,حي الروضة,شمال غربي,سكني أو تجاري,15.0,3000,116,348000
الرياض,حي السلي,3 شوارع,سكني أو تجاري,30.0,10500,1000,10500000
رابغ,حي الصليب الغربي,شرق,سكني,15.0,724,303,219372
رابغ,حي الصبوح,جنوب,سكني,20.0,851,235,199985
الزلفي,حي الصناعية,جنوب,سكني,30.0,600,166,99600
الخبر,حي اللؤلؤ,شرق,سكني,20.0,437,915,399855
المجمعة,حي الاندلس,شمال,سكني أو تجاري,40.0,600,1400,840000
الرياض,حي بنبان,شمال,سكني,15.0,375,733,274875
الرياض,حي الجنادرية,شرق,سكني,15.0,437,1400,611800
الرياض,حي بنبان,جنوب,سكني,20.0,404,745,300980
الدرعية,حي شمال الدرعية,جنوب,سكني,18.0,750,4000,3000000
الرياض,حي الشرق,شرق,سكني أو تجاري,20.0,900,388,349200
جدة,حي الرياض,شرق,سكني,32.0,625,940,587500
الهفوف,حي جنوب الهفوف,غرب,سكني,15.0,442,814,359788
الخبر,حي العقيق,شمال شرقي,سكني أو تجاري,20.0,861,1045,899745
الخبر,حي الامواج,شمال غربي,سكني,40.0,900,1100,990000
الرياض,حي النهضة,3 شوارع,سكني,20.0,1800,2200,3960000
الرياض,حي حطين,شمال,سكني,16.0,364,4500,1638000
الرياض,حي الرمال,شمال غربي,سكني,20.0,288,1850,532800
الرياض,حي النهضة,غرب,سكني,10.0,388,1800,698400
الرياض,حي الرمال,شمال شرقي,سكني,20.0,400,1900,760000
الرياض,حي الملقا,شرق,سكني,60.0,1000,4200,4200000
المدينة المنورة,حي الروابي,جنوب,سكني,25.0,800,1250,1000000
الرياض,حي الازدهار,شمال,سكني,20.0,900,3200,2880000
الرياض,حي المهدية,جنوب,سكني أو تجاري,35.0,400,1400,560000
جدة,حي اللؤلؤ,شمال شرقي,سكني أو تجاري,25.0,625,2000,1250000
جدة,حي الزمرد,شرق,سكني,16.0,450,888,399600
الرياض,حي الوادي,غرب,سكني,15.0,1200,2600,3120000
الرياض,حي بنبان,شمال شرقي,سكني,15.0,875,857,749875
الرياض,حي ظهرة لبن,جنوب شرقي,سكني,10.0,900,1800,1620000
الرياض,حي النرجس,شمال,سكني,20.0,750,3000,2250000
الرياض,حي المهدية,شمال,تجاري,40.0,450,2500,1125000
الرياض,حي المرسلات,جنوب,سكني,20.0,1768,3000,5304000
الرياض,حي السعادة,جنوب غربي,سكني أو تجاري,35.0,736,3200,2355200
الدرعية,حي الخالدية,شمال شرقي,سكني,20.0,14250,3000,42750000
الرياض,حي عرقة,شمال شرقي,سكني,25.0,1025,2800,2870000
الرياض,حي الربيع,شمال شرقي,سكني,20.0,510,4200,2142000
الرياض,حي النرجس,جنوب غربي,سكني,15.0,500,3500,1750000
جدة,حي الزمرد,شمال,تجاري,53.0,900,1388,1249200
الخبر,حي التحلية,جنوب شرقي,سكني أو تجاري,20.0,351,1566,549666
الرياض,حي الملقا,شمال,سكني,15.0,446,4000,1784000
الرياض,حي المونسية,شمال,سكني,15.0,720,2900,2088000
الرياض,حي المهدية,شمال شرقي,تجاري,40.0,900,1450,1305000
الرياض,حي العريجاء الغربية,شمال,سكني أو تجاري,40.0,800,1500,1200000
الرياض,حي ظهرة لبن,جنوب,سكني,20.0,450,1850,832500
الرياض,حي عرقة,جنوب,سكني,15.0,2400,3000,7200000
الرياض,حي عرقة,جنوب,سكني,15.0,2400,2900,6960000
الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,30.0,1535,3100,4758500
الرياض,حي المروج,شرق,سكني أو تجاري,30.0,875,3700,3237500
الرياض,حي بنبان,جنوب غربي,سكني,15.0,805,434,349370
الرياض,حي الملقا,غرب,سكني أو تجاري,20.0,900,4250,3825000
الرياض,حي اليرموك,غرب,سكني أو تجاري,36.0,1500,2300,3450000
الرياض,حي النرجس,شرق,سكني,20.0,900,3000,2700000
الرياض,حي الملقا,شمال,سكني,25.0,783,4000,3132000
الرياض,حي بنبان,شرق,سكني أو تجاري,20.0,390,800,312000
الدمام,حي طيبة,جنوب,سكني,40.0,525,1600,840000
الرياض,حي النرجس,شرق,سكني,15.0,450,3400,1530000
الرياض,حي الملقا,شمال,تجاري,36.0,2428,4000,9712000
الرياض,حي النخيل,شرق,سكني,12.0,600,4600,2760000
الرياض,حي الملقا,شمال غربي,سكني,25.0,1237,4300,5319100
الرياض,حي النرجس,شرق,سكني,20.0,525,2700,1417500
الدمام,حي بدر,شمال,تجاري,15.0,1695,4719,7998705
الرياض,حي النخيل,شرق,سكني,20.0,841,4000,3364000
الرياض,حي النخيل,غرب,سكني,15.0,391,4400,1720400
الرياض,حي الياسمين,جنوب شرقي,سكني,15.0,1320,3350,4422000
الدمام,حي الفرسان,شرق,سكني,15.0,500,800,400000
جدة,حي البساتين,جنوب,سكني,15.0,598,3344,1999712
مكة المكرمة,حي الراشدية,غرب,سكني,20.0,600,250,150000
الخبر,حي العقيق,غرب,سكني,40.0,437,800,349600
